,target,tweet_cleaned
0,0,              omg its already       O
1,0,       Juuuuuuuuuuuuuuuuussssst Chillin  
2,0,      handed in my uniform today   i miss you already
3,0,      hmmmm     i wonder how she my number   
4,0,      thanks to all the haters up in my face all day         
5,0,    Feeling strangely fine  Now I m gonna go listen to some Semisonic to celebrate
6,0,    You re the only one who can see this cause no one else is following me this is for you because you re pretty awesome
7,0,   goodbye exams  HELLO ALCOHOL TONIGHT 
8,0,   uploading pictures on friendster 
9,0,              so i wrote something last week  and i got a call from someone in the new york office    
10,0,      Do I need to even say it   Do I   Well  here I go anyways   CHRIS CORNELL IN CHICAGO       TONIGHT     
11,0,      health class  what a joke  
12,0,  ginaaa  lt   GO TO THE SHOW TONIGHT
13,0,  bathroom is clean      now on to more enjoyable tasks      
14,0,  boom boom pow
15,0,  go give ur mom a hug right now  
16,0,  Going To See Harry Sunday Happiness 
17,0,    I always get what I want
18,0,  I bend backwards  
19,0,  i get off work sooooon  i miss cody booo  haven t seen him in foreverr 
20,0,  I hate allergies  Should I get my hair cut tomorrow  I m taking a public poll   
21,0,  I m really going to bed now   
22,0,  Jin has a twitter 
23,0,  just gonna smile   cuz it is what it is  and im not sure what more they could want  
24,0,  Just got home  and I got to see my friend Zahra whom I haven t seen since We graduated     That makes me so happy 
25,0,  oh thank you 
26,0,  pleased
27,0,  Rose and ood will be back in the Xmas Who special   YAY   Damn that s half a year away 
28,0,  Thanks  I need all the help i can get 
29,0,   that explains alot 
30,0,  There s going to be a Heathers sequel   Winona ever   They better not fuck it up 
31,0,  trae is so sweet  He just bought me a new baithing suit   Wove him 
32,0,  True  highly subjective of me there  Tombre was actually my favorite character in the book  You got me       Rishabh
33,0,  wide awake   NOT   
34,0,  yeah me too  Its been awful weather here for the last week so that stinks  Kristis comin down and moe said mmmaybe he take us for     
35,0,  poemsunder        started by shannonelyse 
36,0,  lt     That is all  and believe me   it s enough 
37,0,  lt   goooood timessss
38,0,  quot I know you hungry so lets go outside on the balcony so you can eat quot     
39,0,  quot The    Men a UK Female Internet Entrepreneur Should Know when Starting and Growing a Business   The Next Women quot        
40,0,  quot The truth is hiding in your eyes quot  patita MissMarian  Paramore   Decode Daninho       
41,0,    hummin  I SAY  quot shut up  amp  put your money where your mouth is quot     headin  out to reality  Cheers Twitter world  
42,0,      sigh  You cant love someone that doesn t love you back that s like stalker status   GET a divorce  amp  amp  move on   Trinity  
43,0,     Aiqht Goodniqht   Tri  Neena  Malcolm  Chaise   JLew  ATL  lt     Love Much   
44,0,     Triiiiiii    ily   even if Chaise doesn t    D  dies of laughter 
45,0,       hot choco is the best 
46,0,   Beach day with Scoobs       Still no phone 
47,0,   D            WHAT AN AMAZING NIGHT DAY  amp  NIGHT AGAIN   HI TWITS  I MiSS U GUYS
48,0,  canaveral national  seashore
49,0,  progressing in the production department with  quot The Uprizing quot  thats the priority getting the head nodding beats and then we reach out
50,0,  taylorrhicks enjoy chicago  b new venue is always cool  You shine everywhere you go  I know who you are  In time so will everyone  
51,0,   Thestreetforce   
52,0,  sixty days makes me smile 
53,0, adamisacson My first day off in   weeks  and my child got up before       So watch for me on  quot Nancy Grac   
54,0, adbert   quot  Video  Woody Woodpecker   The Barber of Seville  I am great  klitoria  just wishing to be a ch      
55,0, alexrauchman I am happy you are staying around here  Drexel is a fabulous university  You should be proud  yeah 
56,0, ange black sween I call dibs on the Voltron arm  No the leg  Wait  Where are my manners  baileygenine    
57,0, CharlottegC I just saw ur mum
58,0, chloelunn and meganmcdowell GET YOUR FAT ASSES ON HERE  NAI 
59,0,  codinghorror See  three external monitors on one laptop   Win RC    x     x        x     x    
60,0, copicmarker quot  facebook com copic marker if you re cool  Or if you re not cool  Maybe I ll send some cool    
61,0,  crewislife  you want to start the morning later  in New York we can do that   Californians have it even better 
62,0, cybervenus    LOL LuV IT   gt  gt   Did any  find or c     a   
63,0, dandelionas is making fettucini and garlic bread 
64,0, danregal  tell pfont i said Happy BDay   
65,0, DirtyRose    told you  you would sweep haha   p
66,0,  haugern The servers are now backup  if you experience any more problems then please let me know  Sorry about the delay   
67,0, hawaiibuzz   quot yes  i am lol j k luv this  DJDolceVita   quot you are like a gentle breeze that has blown throug      
68,0, hidingesther linininiooh are my future rooooooooomies  NYC holleR
69,0, Hijack King  I hope u have cheeSe burgerS   Snubbmatic LMBO
70,0, iamyas awesome
71,0, ivegotzooms I am nothing of the kind and everything of the sort 
72,0,  jerrybattiste  quot   pick up some flowers for the teacher   quot  I m jealous  I want flowers without having to be in the hospital to get them  
73,0,  joaoqalves Think again   Talvez seja do  nfase na cifra  Mas aten  o   quot Security is a chain  it s as strong as the weakest link  
74,0,  kaitymarine   watch E  MCMudkips   Will do 
75,0,  katherineholden Thanks K  Here s hoping  Pretty nervous though    
76,0, kcome                                                     Followers             
77,0, khead I ll tell ya  grocery store  It was better when you blasted the oldies  Sugar Ray does not make me   
78,0, LHSOPERAFIENDS yall bitches better wake up early to go to the LA Opera  kay  
79,0, masareus quot  dhempe congrats bhai  but like the oldies in  gt  used to say   arre bhai kuch kam ka 
80,0, MelodyChase
81,0, mgph nom chilling on twitter via my spanking new blackberry w  unlimited internet   
82,0, michaelsarver so do you give him every inch of your love every night 
83,0, mimbles WParenthetical
84,0,  minghao Maybe you can pop StarHubCares a tweet  They are quite active on twitter  
85,0, MsNovember It s a shame all the women in Mamma Mia are so horny  since all the men on this island are so   
86,0,  nibaq Thanks for letting me know  I m going to check out Eureka later with this knowledge 
87,0,  PoisonGirl   What s up  sevgli Hey you   lowridergrl I m doing ok  thx  You  cristinerafae You  too  TTYL  Nic pic  Oh  sowwy  lol
88,0, RAPPUBLICIST HAPPY MOTHERS DAY 
89,0,  raybooysen I knew Sharepoint was written by interns  I just knew it    
90,0,     I am happy     
91,0,   Faltam   dias para o World Drawing day
92,0,   haha omg  stayin steezy  amp  mowin the lawn    loviie still here  amp  amp  goiing tanning soon 
93,0,   i wanna play with my camera but i will settle for playing with iv s and heart monitors
94,0,   lol all these  robotpickuplines are hilarious 
95,0,   man  oh man      i should punch myself in the head  but im ok with that 
96,0,   my friends can get with ur friends and we can all b friends  shit  we could do this every weeknd   Aiigght   with coop n the crew
97,0,   such a beautiful satisfying day of bargain shopping  loves it 
98,0,   thank god today is friday     I love Ti Ti   lt  
99,0,   thrilled about being at work this morning   
100,0,   we break dance not hearts by Short Stack is my ringtone     i LOVE that song        
101,0,          my life is very lazzzzyyyy                              
102,0,       ish in a good mood      tlk to me
103,0,      J   A MADE NiCE      TWiCE                      for now   
104,0,     loves life atm    its brilliant XD
105,0,     who else is in a happy mood    D
106,0,     BYE EVERYONE    
107,0,    SO FAR SO GOOD 
108,0,    TODAY WAS A GREAT DAY   
109,0,   a lot  a lot  a lot  a lot  a lot  a lot  a lot  a lot  a lot  a lot  a lot  a lot 
110,0,   Tiger Woods is up by  at    via 
111,0,   yippeeeee yay lets gather in the hay   HIS LOVE FOUND IT S WAY  boy it s Gonna STAY added   the Master s HOLY WAY  ALL HIS WILL WAY
112,0,       Hardest working chica i know  mii boss lady  MoneyAceweather  look up to her seriously  lOl
113,0,      thanks for being the bestttttttttttttttttttt J dawg
114,0,     praise God for this beautiful day        
115,0,   Lakers   I love you guyssss  Those rings   Mmmyeahh  Bling blingg
116,0,   PERFEKTnCHANCE  Chance  is Boo    
117,0,   Standing Stones  Thank you very much for the DVD suggestion   Very nice of you   Looks good 
118,0,   had a WONDERFUL day  G D is GRRRRRRRRREAT          
119,0,   I have passed        exam today   
120,0,   I want to write a song  I think I will 
121,0,  serialseb Always thought time estimates should use  value of Pi rule   x        Only exception being  Pi squared rule   
122,0, SirKenRobinson Creativity via Twitter 
123,0,  SlashHudson you tease  i wanna hear the tracks   
124,0, soultravelers       TravelTips   student safety in roughplaces
125,0, SRenaeNae    What is  FML 
126,0, sweetlilmzmia   quot Gotta LOVE Blip fm   John Mayer Trio   CALIFORNIA DREAMIN  as heard on Conan                     
127,0, Thatsrightnate   Just in case you need some help w that   
128,0, THEDIAMONDCOACH  Im sure he d love that LOL
129,0, theenglishmuse on  quot Karl Lagerfeld quot   s Twitter profile s  lol   Heart the first pic 
130,0, weselec My avatar can t figure out what you people are  either  
131,0, yhf What happened to movies  anyway  It s like Hollywood forgot  in rough times  the public wants to see   
